Trial,StartTime,Duration,Frequency,dB_SPL
1,6.3092,0.1,4800,70
2,7.00915,0.1,12095.242,70
3,7.7988,0.1,188.988,70
4,8.6137,0.1,19200,70
5,9.3991,0.1,1511.905,70
6,10.19845,0.1,377.976,70
7,11.0142,0.1,9600,70
8,11.79925,0.1,7619.525,70
9,12.5993,0.1,1904.881,70
10,13.39885,0.1,476.22,70
11,14.30605,0.1,1200,70
12,15.19975,0.1,952.441,70
13,15.99945,0.1,6047.621,70
14,16.9061,0.1,600,70
15,17.61985,0.1,2400,70
16,18.30025,0.1,150,70
17,19.0001,0.1,3809.763,70
18,19.6997,0.1,15239.05,70
19,20.40055,0.1,300,70
20,21.11055,0.1,755.953,70
21,21.7997,0.1,3023.811,70
22,22.6088,0.1,238.11,70
23,23.2992,0.1,12095.242,60
24,24.017,0.1,1200,60
25,24.9064,0.1,2400,60
26,25.813,0.1,300,60
27,26.8102,0.1,19200,60
28,27.6051,0.1,6047.621,60
29,28.61075,0.1,188.988,60
30,29.40085,0.1,15239.05,60
31,30.21,0.1,1904.881,60
32,31.00735,0.1,238.11,60
33,31.81875,0.1,755.953,60
34,32.6037,0.1,952.441,60
35,33.3022,0.1,9600,60
36,34.20615,0.1,7619.525,60
37,34.9008,0.1,3809.763,60
38,35.70095,0.1,377.976,60
39,36.60345,0.1,150,60
40,37.4134,0.1,4800,60
41,38.20395,0.1,476.22,60
42,39.12545,0.1,3023.811,60
43,40.00055,0.1,1511.905,60
44,40.90485,0.1,600,60
45,41.601,0.1,2400,50
46,42.30145,0.1,1511.905,50
47,43.2006,0.1,188.988,50
48,44.00165,0.1,476.22,50
49,44.8097,0.1,3023.811,50
50,45.61115,0.1,12095.242,50
51,46.5014,0.1,7619.525,50
52,47.3019,0.1,150,50
53,48.00895,0.1,600,50
54,48.8026,0.1,1904.881,50
55,49.62505,0.1,3809.763,50
56,50.6129,0.1,1200,50
57,51.4018,0.1,9600,50
58,52.31255,0.1,6047.621,50
59,53.22275,0.1,300,50
60,54.00685,0.1,377.976,50
61,54.80335,0.1,755.953,50
62,55.60835,0.1,952.441,50
63,56.3067,0.1,4800,50
64,57.11195,0.1,238.11,50
65,58.01885,0.1,15239.05,50
66,58.821,0.1,19200,50
67,59.70535,0.1,476.22,40
68,60.60305,0.1,12095.242,40
69,61.4023,0.1,377.976,40
70,62.20275,0.1,1511.905,40
71,63.01435,0.1,755.953,40
72,63.9037,0.1,150,40
73,64.80355,0.1,15239.05,40
74,65.60465,0.1,6047.621,40
75,66.50435,0.1,600,40
76,67.40575,0.1,9600,40
77,68.3113,0.1,3023.811,40
78,69.20955,0.1,19200,40
79,69.91445,0.1,300,40
80,70.71355,0.1,7619.525,40
81,71.50615,0.1,238.11,40
82,72.30825,0.1,188.988,40
83,73.0182,0.1,1904.881,40
84,73.72655,0.1,3809.763,40
85,74.6093,0.1,2400,40
86,75.3038,0.1,952.441,40
87,76.20375,0.1,4800,40
88,76.90705,0.1,1200,40
89,77.808,0.1,1200,70
90,78.5044,0.1,755.953,70
91,79.2038,0.1,476.22,70
92,80.0105,0.1,150,70
93,80.70485,0.1,3809.763,70
94,81.4087,0.1,1904.881,70
95,82.3056,0.1,3023.811,70
96,83.10625,0.1,1511.905,70
97,84.0079,0.1,952.441,70
98,84.9076,0.1,9600,70
99,85.60485,0.1,300,70
100,86.5049,0.1,2400,70
101,87.4134,0.1,15239.05,70
102,88.2069,0.1,600,70
103,89.01535,0.1,12095.242,70
104,89.7091,0.1,188.988,70
105,90.6049,0.1,19200,70
106,91.3103,0.1,4800,70
107,92.0053,0.1,238.11,70
108,92.91145,0.1,377.976,70
109,93.80545,0.1,6047.621,70
110,94.52505,0.1,7619.525,70
111,95.305,0.1,7619.525,60
112,96.10555,0.1,755.953,60
113,97.0154,0.1,4800,60
114,97.91445,0.1,300,60
115,98.718,0.1,12095.242,60
116,99.50535,0.1,6047.621,60
117,100.40645,0.1,15239.05,60
118,101.20615,0.1,1200,60
119,102.1101,0.1,3809.763,60
120,102.80665,0.1,238.11,60
121,103.60945,0.1,3023.811,60
122,104.50765,0.1,1511.905,60
123,105.21475,0.1,2400,60
124,105.9145,0.1,600,60
125,106.6105,0.1,19200,60
126,107.30605,0.1,9600,60
127,108.1171,0.1,952.441,60
128,108.9195,0.1,150,60
129,109.621,0.1,377.976,60
130,110.4145,0.1,188.988,60
131,111.11835,0.1,1904.881,60
132,111.8283,0.1,476.22,60
133,112.50705,0.1,1511.905,50
134,113.2116,0.1,600,50
135,114.10775,0.1,3023.811,50
136,115.00825,0.1,476.22,50
137,115.90745,0.1,6047.621,50
138,116.8126,0.1,12095.242,50
139,117.51625,0.1,377.976,50
140,118.3113,0.1,755.953,50
141,119.0079,0.1,2400,50
142,119.62175,0.1,19200,50
143,120.4083,0.1,952.441,50
144,121.21245,0.1,4800,50
145,122.01135,0.1,9600,50
146,122.8111,0.1,1904.881,50
147,123.60805,0.1,1200,50
148,124.3227,0.1,150,50
149,125.1079,0.1,15239.05,50
150,126.02235,0.1,188.988,50
151,126.9091,0.1,238.11,50
152,127.7083,0.1,3809.763,50
153,128.609,0.1,7619.525,50
154,129.408,0.1,300,50
155,130.1089,0.1,19200,40
156,130.90825,0.1,1200,40
157,131.60855,0.1,600,40
158,132.3162,0.1,755.953,40
159,133.00905,0.1,4800,40
160,133.71395,0.1,7619.525,40
161,134.62415,0.1,300,40
162,135.4194,0.1,12095.242,40
163,136.3092,0.1,952.441,40
164,137.0206,0.1,188.988,40
165,137.71675,0.1,1511.905,40
166,138.5223,0.1,150,40
167,139.20895,0.1,9600,40
168,140.11045,0.1,3023.811,40
169,141.0283,0.1,15239.05,40
170,141.8095,0.1,238.11,40
171,142.40885,0.1,476.22,40
172,143.2175,0.1,2400,40
173,144.11075,0.1,377.976,40
174,145.00955,0.1,1904.881,40
175,145.70955,0.1,3809.763,40
176,146.5095,0.1,6047.621,40
177,147.31035,0.1,15239.05,70
178,148.01115,0.1,6047.621,70
179,148.91035,0.1,476.22,70
180,149.6105,0.1,377.976,70
181,150.4157,0.1,4800,70
182,151.21705,0.1,600,70
183,152.11845,0.1,1904.881,70
184,153.02755,0.1,1511.905,70
185,153.71125,0.1,188.988,70
186,154.4121,0.1,238.11,70
187,155.11275,0.1,755.953,70
188,156.01,0.1,19200,70
189,156.81035,0.1,9600,70
190,157.51935,0.1,3809.763,70
191,158.2204,0.1,1200,70
192,159.0111,0.1,300,70
193,159.91365,0.1,150,70
194,160.7106,0.1,7619.525,70
195,161.41555,0.1,2400,70
196,162.11115,0.1,3023.811,70
197,163.0112,0.1,12095.242,70
198,163.8268,0.1,952.441,70
199,164.61845,0.1,6047.621,60
200,165.521,0.1,3023.811,60
201,166.31925,0.1,238.11,60
202,167.1119,0.1,188.988,60
203,168.0123,0.1,952.441,60
204,168.9219,0.1,300,60
205,169.7174,0.1,3809.763,60
206,170.5138,0.1,1904.881,60
207,171.4132,0.1,4800,60
208,172.11535,0.1,12095.242,60
209,172.91175,0.1,9600,60
210,173.71705,0.1,1200,60
211,174.41775,0.1,150,60
212,175.113,0.1,600,60
213,176.0123,0.1,755.953,60
214,176.91815,0.1,7619.525,60
215,177.62445,0.1,1511.905,60
216,178.512,0.1,15239.05,60
217,179.2119,0.1,377.976,60
218,180.1157,0.1,19200,60
219,181.02355,0.1,476.22,60
